Number,Name,Type1,Type2,Gen
0722,Rowlet,Grass,Flying,7
0723,Dartrix,Grass,Flying,7
0724,Decidueye,Grass,Ghost,7
0725,Litten,Fire,None,7
0726,Torracat,Fire,None,7
0727,Incineroar,Fire,Dark,7
0728,Popplio,Water,None,7
0729,Brionne,Water,None,7
0730,Primarina,Water,Fairy,7
0731,Pikipek,Normal,Flying,7
0732,Trumbeak,Normal,Flying,7
0733,Toucannon,Normal,Flying,7
0734,Yungoos,Normal,None,7
0735,Gumshoos,Normal,None,7
0019,Rattata,Dark,Normal,1
0020,Raticate,Dark,Normal,1
0010,Caterpie,Bug,None,1
0011,Metapod,Bug,None,1
0012,Butterfree,Bug,Flying,1
0165,Ledyba,Bug,Flying,2
0166,Ledian,Bug,Flying,2
0167,Spinarak,Bug,Poison,2
0168,Ariados,Bug,Poison,2
0172,Pichu,Electric,None,2
0025,Pikachu,Electric,None,1
0026,Raichu,Electric,Psychic,1
0736,Grubbin,Bug,None,7
0737,Charjabug,Bug,Electric,7
0738,Vikavolt,Bug,Electric,7
0438,Bonsly,Rock,None,4
0185,Sudowoodo,Rock,None,2
0440,Happiny,Normal,None,4
0113,Chansey,Normal,None,1
0242,Blissey,Normal,None,2
0446,Munchlax,Normal,None,4
0143,Snorlax,Normal,None,1
0079,Slowpoke,Water,Psychic,1
0080,Slowbro,Water,Psychic,1
0199,Slowking,Water,Psychic,2
0278,Wingull,Water,Flying,3
0279,Pelipper,Water,Flying,3
0063,Abra,Psychic,None,1
0064,Kadabra,Psychic,None,1
0065,Alakazam,Psychic,None,1
0052,Meowth,Dark,None,1
0053,Persian,Dark,None,1
0081,Magnemite,Electric,Steel,1
0082,Magneton,Electric,Steel,1
0462,Magnezone,Electric,Steel,4
0088,Grimer,Poison,Dark,1
0089,Muk,Poison,Dark,1
0058,Growlithe,Fire,None,1
0059,Arcanine,Fire,None,1
0096,Drowzee,Psychic,None,1
0097,Hypno,Psychic,None,1
0296,Makuhita,Fighting,None,3
0297,Hariyama,Fighting,None,3
0235,Smeargle,Normal,None,2
0739,Crabrawler,Fighting,None,7
0740,Crabominable,Fighting,Ice,7
0092,Gastly,Ghost,Poison,1
0093,Haunter,Ghost,Poison,1
0094,Gengar,Ghost,Poison,1
0425,Drifloon,Ghost,Flying,4
0426,Drifblim,Ghost,Flying,4
0200,Misdreavus,Ghost,None,2
0429,Mismagius,Ghost,None,4
0041,Zubat,Poison,Flying,1
0042,Golbat,Poison,Flying,1
0169,Crobat,Poison,Flying,2
0050,Diglett,Ground,Steel,1
0051,Dugtrio,Ground,Steel,1
0021,Spearow,Normal,Flying,1
0022,Fearow,Normal,Flying,1
0627,Rufflet,Normal,Flying,5
0628,Braviary,Normal,Flying,5
0629,Vullaby,Dark,Flying,5
0630,Mandibuzz,Dark,Flying,5
0056,Mankey,Fighting,None,1
0057,Primeape,Fighting,None,1
0225,Delibird,Ice,Flying,2
