Number,Name,Type1,Type2,Gen
0810,Grookey,Grass,None,8
0811,Thwackey,Grass,None,8
0812,Rillaboom,Grass,None,8
0813,Scorbunny,Fire,None,8
0814,Raboot,Fire,None,8
0815,Cinderace,Fire,None,8
0816,Sobble,Water,None,8
0817,Drizzile,Water,None,8
0818,Inteleon,Water,None,8
0824,Blipbug,Bug,None,8
0825,Dottler,Bug,Psychic,8
0826,Orbeetle,Bug,Psychic,8
0010,Caterpie,Bug,None,1
0011,Metapod,Bug,None,1
0012,Butterfree,Bug,Flying,1
0736,Grubbin,Bug,None,7
0737,Charjabug,Bug,Electric,7
0738,Vikavolt,Bug,Electric,7
0163,Hoothoot,Normal,Flying,2
0164,Noctowl,Normal,Flying,2
0821,Rookidee,Flying,None,8
0822,Corvisquire,Flying,None,8
0823,Corviknight,Flying,Steel,8
0819,Skwovet,Normal,None,8
0820,Greedent,Normal,None,8
0519,Pidove,Normal,Flying,5
0520,Tranquill,Normal,Flying,5
0521,Unfezant,Normal,Flying,5
0827,Nickit,Dark,None,8
0828,Thievul,Dark,None,8
0263,Zigzagoon,Normal,None,3
0264,Linoone,Normal,None,3
0862,Obstagoon,Dark,Normal,8
0831,Wooloo,Normal,None,8
0832,Dubwool,Normal,None,8
0270,Lotad,Water,Grass,3
0271,Lombre,Water,Grass,3
0272,Ludicolo,Water,Grass,3
0273,Seedot,Grass,None,3
0274,Nuzleaf,Grass,Dark,3
0275,Shiftry,Grass,Dark,3
0833,Chewtle,Water,None,8
0834,Drednaw,Water,Rock,8
0509,Purrloin,Dark,None,5
0510,Liepard,Dark,None,5
0835,Yamper,Electric,None,8
0836,Boltund,Electric,None,8
0659,Bunnelby,Normal,None,6
0660,Diggersby,Normal,Ground,6
0572,Minccino,Normal,None,5
0573,Cinccino,Normal,None,5
0761,Bounsweet,Grass,None,7
0762,Steenee,Grass,None,7
0763,Tsareena,Grass,None,7
0043,Oddish,Grass,Poison,1
0044,Gloom,Grass,Poison,1
0045,Vileplume,Grass,Poison,1
0182,Bellossom,Grass,None,2
0406,Budew,Grass,Poison,4
0315,Roselia,Grass,Poison,3
0407,Roserade,Grass,Poison,4
0278,Wingull,Water,Flying,3
0279,Pelipper,Water,Flying,3
0595,Joltik,Bug,Electric,5
0596,Galvantula,Bug,Electric,5
0309,Electrike,Electric,None,3
0310,Manectric,Electric,None,3
0037,Vulpix,Fire,None,1
0038,Ninetales,Fire,None,1
0058,Growlithe,Fire,None,1
0059,Arcanine,Fire,None,1
0582,Vanillite,Ice,None,5
0583,Vanillish,Ice,None,5
0584,Vanilluxe,Ice,None,5
0220,Swinub,Ice,Ground,2
0221,Piloswine,Ice,Ground,2
0473,Mamoswine,Ice,Ground,4
0225,Delibird,Ice,Flying,2
0361,Snorunt,Ice,None,3
0362,Glalie,Ice,None,3
0478,Froslass,Ice,Ghost,4
0343,Baltoy,Ground,Psychic,3
0344,Claydol,Ground,Psychic,3
0749,Mudbray,Ground,None,7
0750,Mudsdale,Ground,None,7
0557,Dwebble,Bug,Rock,5
0558,Crustle,Bug,Rock,5
0622,Golett,Ground,Ghost,5
0623,Golurk,Ground,Ghost,5
0517,Munna,Psychic,None,5
0518,Musharna,Psychic,None,5
0177,Natu,Psychic,Flying,2
0178,Xatu,Psychic,Flying,2
0759,Stufful,Normal,Fighting,7
0760,Bewear,Normal,Fighting,7
0459,Snover,Grass,Ice,4
0460,Abomasnow,Grass,Ice,4
0098,Krabby,Water,None,1
0099,Kingler,Water,None,1
0194,Wooper,Water,Ground,2
0195,Quagsire,Water,Ground,2
0341,Corphish,Water,None,3
0342,Crawdaunt,Water,Dark,3
0290,Nincada,Bug,Ground,3
0291,Ninjask,Bug,Flying,3
0292,Shedinja,Bug,Ghost,3
0236,Tyrogue,Fighting,None,2
0106,Hitmonlee,Fighting,None,1
0107,Hitmonchan,Fighting,None,1
0237,Hitmontop,Fighting,None,2
0674,Pancham,Fighting,None,6
0675,Pangoro,Fighting,Dark,6
0599,Klink,Steel,None,5
0600,Klang,Steel,None,5
0601,Klinklang,Steel,None,5
0415,Combee,Bug,Flying,4
0416,Vespiquen,Bug,Flying,4
0436,Bronzor,Steel,Psychic,4
0437,Bronzong,Steel,Psychic,4
0280,Ralts,Psychic,Fairy,3
0281,Kirlia,Psychic,Fairy,3
0282,Gardevoir,Psychic,Fairy,3
0475,Gallade,Psychic,Fighting,4
0425,Drifloon,Ghost,Flying,4
0426,Drifblim,Ghost,Flying,4
0829,Gossifleur,Grass,None,8
0830,Eldegoss,Grass,None,8
0420,Cherubi,Grass,None,4
0421,Cherrim,Grass,None,4
0434,Stunky,Poison,Dark,4
0435,Skuntank,Poison,Dark,4
0535,Tympole,Water,None,5
0536,Palpitoad,Water,Ground,5
0537,Seismitoad,Water,Ground,5
0355,Duskull,Ghost,None,3
0356,Dusclops,Ghost,None,3
0477,Dusknoir,Ghost,None,4
0066,Machop,Fighting,None,1
0067,Machoke,Fighting,None,1
0068,Machamp,Fighting,None,1
0092,Gastly,Ghost,Poison,1
0093,Haunter,Ghost,Poison,1
0094,Gengar,Ghost,Poison,1
0129,Magikarp,Water,None,1
0130,Gyarados,Water,Flying,1
0118,Goldeen,Water,None,1
0119,Seaking,Water,None,1
0223,Remoraid,Water,None,2
0224,Octillery,Water,None,2
0090,Shellder,Water,None,1
0091,Cloyster,Water,Ice,1
0349,Feebas,Water,None,3
0350,Milotic,Water,None,3
0550,Basculin,Water,None,5
0746,Wishiwashi,Water,None,7
0771,Pyukumuku,Water,None,7
0568,Trubbish,Poison,None,5
0569,Garbodor,Poison,None,5
0850,Sizzlipede,Fire,Bug,8
0851,Centiskorch,Fire,Bug,8
0837,Rolycoly,Rock,None,8
0838,Carkol,Rock,Fire,8
0839,Coalossal,Rock,Fire,8
0050,Diglett,Ground,None,1
0051,Dugtrio,Ground,None,1
0529,Drilbur,Ground,None,5
0530,Excadrill,Ground,Steel,5
0524,Roggenrola,Rock,None,5
0525,Boldore,Rock,None,5
0526,Gigalith,Rock,None,5
0532,Timburr,Fighting,None,5
0533,Gurdurr,Fighting,None,5
0534,Conkeldurr,Fighting,None,5
0527,Woobat,Psychic,Flying,5
0528,Swoobat,Psychic,Flying,5
0714,Noibat,Flying,Dragon,6
0715,Noivern,Flying,Dragon,6
0095,Onix,Rock,Ground,1
0208,Steelix,Steel,Ground,2
0846,Arrokuda,Water,None,8
0847,Barraskewda,Water,None,8
0052,Meowth,Normal,None,1
0863,Perrserker,Steel,None,8
0053,Persian,Normal,None,1
0868,Milcery,Fairy,None,8
0869,Alcremie,Fairy,None,8
0742,Cutiefly,Bug,Fairy,7
0743,Ribombee,Bug,Fairy,7
0597,Ferroseed,Grass,Steel,5
0598,Ferrothorn,Grass,Steel,5
0710,Pumpkaboo,Ghost,Grass,6
0711,Gourgeist,Ghost,Grass,6
0172,Pichu,Electric,None,2
0025,Pikachu,Electric,None,1
0026,Raichu,Electric,None,1
0133,Eevee,Normal,None,1
0134,Vaporeon,Water,None,1
0135,Jolteon,Electric,None,1
0136,Flareon,Fire,None,1
0196,Espeon,Psychic,None,2
0197,Umbreon,Dark,None,2
0470,Leafeon,Grass,None,4
0471,Glaceon,Ice,None,4
0700,Sylveon,Fairy,None,6
0840,Applin,Grass,Dragon,8
0841,Flapple,Grass,Dragon,8
0842,Appletun,Grass,Dragon,8
0677,Espurr,Psychic,None,6
0678,Meowstic,Psychic,None,6
0684,Swirlix,Fairy,None,6
0685,Slurpuff,Fairy,None,6
0682,Spritzee,Fairy,None,6
0683,Aromatisse,Fairy,None,6
0751,Dewpider,Water,Bug,7
0752,Araquanid,Water,Bug,7
0360,Wynaut,Psychic,None,3
0202,Wobbuffet,Psychic,None,2
0083,Farfetch'd,Normal,Flying,1
0865,Sirfetch'd,Fighting,None,8
0170,Chinchou,Water,Electric,2
0171,Lanturn,Water,Electric,2
0453,Croagunk,Poison,Fighting,4
0454,Toxicroak,Poison,Fighting,4
0559,Scraggy,Dark,Fighting,5
0560,Scrafty,Dark,Fighting,5
0618,Stunfisk,Ground,Electric,5
0213,Shuckle,Bug,Rock,2
0339,Barboach,Water,Ground,3
0340,Whiscash,Water,Ground,3
0422,Shellos,Water,None,4
0423,Gastrodon,Water,Ground,4
0767,Wimpod,Bug,Water,7
0768,Golisopod,Bug,Water,7
0688,Binacle,Rock,Water,6
0689,Barbaracle,Rock,Water,6
0222,Corsola,Water,Rock,2
0864,Cursola,Ghost,None,8
0859,Impidimp,Dark,Fairy,8
0860,Morgrem,Dark,Fairy,8
