Number,Name,Type1,Type2,Gen
0252,Treecko,Grass,None,3
0253,Grovyle,Grass,None,3
0254,Sceptile,Grass,None,3
0255,Torchic,Fire,None,3
0256,Combusken,Fire,Fighting,3
0257,Blaziken,Fire,Fighting,3
0258,Mudkip,Water,None,3
0259,Marshtomp,Water,Ground,3
0260,Swampert,Water,Ground,3
0261,Poochyena,Dark,None,3
0262,Mightyena,Dark,None,3
0263,Zigzagoon,Normal,None,3
0264,Linoone,Normal,None,3
0265,Wurmple,Bug,None,3
0266,Silcoon,Bug,None,3
0267,Beautifly,Bug,Flying,3
0268,Cascoon,Bug,None,3
0269,Dustox,Bug,Poison,3
0270,Lotad,Water,Grass,3
0271,Lombre,Water,Grass,3
0272,Ludicolo,Water,Grass,3
0273,Seedot,Grass,None,3
0274,Nuzleaf,Grass,Dark,3
0275,Shiftry,Grass,Dark,3
0276,Taillow,Normal,Flying,3
0277,Swellow,Normal,Flying,3
0278,Wingull,Water,Flying,3
0279,Pelipper,Water,Flying,3
0280,Ralts,Psychic,None,3
0281,Kirlia,Psychic,None,3
0282,Gardevoir,Psychic,None,3
0283,Surskit,Bug,Water,3
0284,Masquerain,Bug,Flying,3
0285,Shroomish,Grass,None,3
0286,Breloom,Grass,Fighting,3
0287,Slakoth,Normal,None,3
0288,Vigoroth,Normal,None,3
0289,Slaking,Normal,None,3
0063,Abra,Psychic,None,1
0064,Kadabra,Psychic,None,1
0065,Alakazam,Psychic,None,1
0290,Nincada,Bug,Ground,3
0291,Ninjask,Bug,Flying,3
0292,Shedinja,Bug,Ghost,3
0293,Whismur,Normal,None,3
0294,Loudred,Normal,None,3
0295,Exploud,Normal,None,3
0296,Makuhita,Fighting,None,3
0297,Hariyama,Fighting,None,3
0118,Goldeen,Water,None,1
0119,Seaking,Water,None,1
0129,Magikarp,Water,None,1
0130,Gyarados,Water,Flying,1
0298,Azurill,Normal,None,3
0183,Marill,Water,None,2
0184,Azumarill,Water,None,2
0074,Geodude,Rock,Ground,1
0075,Graveler,Rock,Ground,1
0076,Golem,Rock,Ground,1
0299,Nosepass,Rock,None,3
0300,Skitty,Normal,None,3
0301,Delcatty,Normal,None,3
0041,Zubat,Poison,Flying,1
0042,Golbat,Poison,Flying,1
0169,Crobat,Poison,Flying,2
0072,Tentacool,Water,Poison,1
0073,Tentacruel,Water,Poison,1
0302,Sableye,Dark,Ghost,3
0303,Mawile,Steel,None,3
0304,Aron,Steel,Rock,3
0305,Lairon,Steel,Rock,3
0306,Aggron,Steel,Rock,3
0066,Machop,Fighting,None,1
0067,Machoke,Fighting,None,1
0068,Machamp,Fighting,None,1
0307,Meditite,Fighting,Psychic,3
