Number,Name,Type1,Type2,Gen
0650,Chespin,Grass,None,6
0651,Quilladin,Grass,None,6
0652,Chesnaught,Grass,Fighting,6
0653,Fennekin,Fire,None,6
0654,Braixen,Fire,None,6
0655,Delphox,Fire,Psychic,6
0656,Froakie,Water,None,6
0657,Frogadier,Water,None,6
0658,Greninja,Water,Dark,6
0659,Bunnelby,Normal,None,6
0660,Diggersby,Normal,Ground,6
0263,Zigzagoon,Normal,None,3
0264,Linoone,Normal,None,3
0661,Fletchling,Normal,Flying,6
0662,Fletchinder,Fire,Flying,6
0663,Talonflame,Fire,Flying,6
0016,Pidgey,Normal,Flying,1
0017,Pidgeotto,Normal,Flying,1
0018,Pidgeot,Normal,Flying,1
0664,Scatterbug,Bug,None,6
0665,Spewpa,Bug,None,6
0666,Vivillon,Bug,Flying,6
0010,Caterpie,Bug,None,1
0011,Metapod,Bug,None,1
0012,Butterfree,Bug,Flying,1
0013,Weedle,Bug,Poison,1
0014,Kakuna,Bug,Poison,1
0015,Beedrill,Bug,Poison,1
0511,Pansage,Grass,None,5
0512,Simisage,Grass,None,5
0513,Pansear,Fire,None,5
0514,Simisear,Fire,None,5
0515,Panpour,Water,None,5
0516,Simipour,Water,None,5
0172,Pichu,Electric,None,2
0025,Pikachu,Electric,None,1
0026,Raichu,Electric,None,1
0399,Bidoof,Normal,None,4
0400,Bibarel,Normal,Water,4
0206,Dunsparce,Normal,None,2
0298,Azurill,Normal,Fairy,3
0183,Marill,Water,Fairy,2
0184,Azumarill,Water,Fairy,2
0412,Burmy,Bug,None,4
0413,Wormadam,Bug,Grass,4
0414,Mothim,Bug,Flying,4
0283,Surskit,Bug,Water,3
0284,Masquerain,Bug,Flying,3
0129,Magikarp,Water,None,1
0130,Gyarados,Water,Flying,1
0341,Corphish,Water,None,3
0342,Crawdaunt,Water,Dark,3
0118,Goldeen,Water,None,1
0119,Seaking,Water,None,1
0318,Carvanha,Water,Dark,3
0319,Sharpedo,Water,Dark,3
0667,Litleo,Fire,Normal,6
0668,Pyroar,Fire,Normal,6
0054,Psyduck,Water,None,1
0055,Golduck,Water,None,1
0083,Farfetch'd,Normal,Flying,1
0447,Riolu,Fighting,None,4
0448,Lucario,Fighting,Steel,4
0280,Ralts,Psychic,Fairy,3
0281,Kirlia,Psychic,Fairy,3
0282,Gardevoir,Psychic,Fairy,3
0475,Gallade,Psychic,Fighting,4
0669,Flabébé,Fairy,None,6
0670,Floette,Fairy,None,6
0671,Florges,Fairy,None,6
0406,Budew,Grass,Poison,4
0315,Roselia,Grass,Poison,3
0407,Roserade,Grass,Poison,4
0165,Ledyba,Bug,Flying,2
0166,Ledian,Bug,Flying,2
0415,Combee,Bug,Flying,4
0416,Vespiquen,Bug,Flying,4
0300,Skitty,Normal,None,3
0301,Delcatty,Normal,None,3
0001,Bulbasaur,Grass,Poison,1
0002,Ivysaur,Grass,Poison,1
0003,Venusaur,Grass,Poison,1
0004,Charmander,Fire,None,1
0005,Charmeleon,Fire,None,1
0006,Charizard,Fire,Flying,1
0007,Squirtle,Water,None,1
0008,Wartortle,Water,None,1
0009,Blastoise,Water,None,1
0672,Skiddo,Grass,None,6
0673,Gogoat,Grass,None,6
0674,Pancham,Fighting,None,6
0675,Pangoro,Fighting,Dark,6
0676,Furfrou,Normal,None,6
0084,Doduo,Normal,Flying,1
0085,Dodrio,Normal,Flying,1
0311,Plusle,Electric,None,3
0312,Minun,Electric,None,3
0316,Gulpin,Poison,None,3
0317,Swalot,Poison,None,3
0559,Scraggy,Dark,Fighting,5
0560,Scrafty,Dark,Fighting,5
0063,Abra,Psychic,None,1
0064,Kadabra,Psychic,None,1
0065,Alakazam,Psychic,None,1
0043,Oddish,Grass,Poison,1
0044,Gloom,Grass,Poison,1
0045,Vileplume,Grass,Poison,1
0182,Bellossom,Grass,None,2
0161,Sentret,Normal,None,2
0162,Furret,Normal,None,2
0290,Nincada,Bug,Ground,3
0291,Ninjask,Bug,Flying,3
0292,Shedinja,Bug,Ghost,3
0677,Espurr,Psychic,None,6
0678,Meowstic,Psychic,None,6
0352,Kecleon,Normal,None,3
0679,Honedge,Steel,Ghost,6
0680,Doublade,Steel,Ghost,6
0681,Aegislash,Steel,Ghost,6
0543,Venipede,Bug,Poison,5
0544,Whirlipede,Bug,Poison,5
0545,Scolipede,Bug,Poison,5
0531,Audino,Normal,None,5
0235,Smeargle,Normal,None,2
0453,Croagunk,Poison,Fighting,4
0454,Toxicroak,Poison,Fighting,4
0580,Ducklett,Water,Flying,5
0581,Swanna,Water,Flying,5
0682,Spritzee,Fairy,None,6
0683,Aromatisse,Fairy,None,6
0684,Swirlix,Fairy,None,6
0685,Slurpuff,Fairy,None,6
0313,Volbeat,Bug,None,3
0314,Illumise,Bug,None,3
0187,Hoppip,Grass,Flying,2
0188,Skiploom,Grass,Flying,2
0189,Jumpluff,Grass,Flying,2
0446,Munchlax,Normal,None,4
0143,Snorlax,Normal,None,1
0293,Whismur,Normal,None,3
0294,Loudred,Normal,None,3
0295,Exploud,Normal,None,3
0307,Meditite,Fighting,Psychic,3
0308,Medicham,Fighting,Psychic,3
0041,Zubat,Poison,Flying,1
0042,Golbat,Poison,Flying,1
0169,Crobat,Poison,Flying,2
0610,Axew,Dragon,None,5
0611,Fraxure,Dragon,None,5
0612,Haxorus,Dragon,None,5
0719,Diancie,Rock,Fairy,6
0720,Hoopa,Psychic,Ghost,6
0721,Volcanion,Fire,Water,6
0425,Drifloon,Ghost,Flying,4
0426,Drifblim,Ghost,Flying,4
0619,Mienfoo,Fighting,None,5
0620,Mienshao,Fighting,None,5
0335,Zangoose,Normal,None,3
0336,Seviper,Poison,None,3
0325,Spoink,Psychic,None,3
0326,Grumpig,Psychic,None,3
0359,Absol,Dark,None,3
0686,Inkay,Dark,Psychic,6
0687,Malamar,Dark,Psychic,6
0337,Lunatone,Rock,Psychic,3
0338,Solrock,Rock,Psychic,3
0371,Bagon,Dragon,None,3
0372,Shelgon,Dragon,None,3
0373,Salamence,Dragon,Flying,3
0278,Wingull,Water,Flying,3
0279,Pelipper,Water,Flying,3
0276,Taillow,Normal,Flying,3
0277,Swellow,Normal,Flying,3
0688,Binacle,Rock,Water,6
0689,Barbaracle,Rock,Water,6
0557,Dwebble,Bug,Rock,5
0558,Crustle,Bug,Rock,5
0072,Tentacool,Water,Poison,1
0073,Tentacruel,Water,Poison,1
0320,Wailmer,Water,None,3
0321,Wailord,Water,None,3
0370,Luvdisc,Water,None,3
0690,Skrelp,Poison,Water,6
0691,Dragalge,Poison,Dragon,6
0692,Clauncher,Water,None,6
0693,Clawitzer,Water,None,6
0120,Staryu,Water,None,1
0121,Starmie,Water,Psychic,1
0090,Shellder,Water,None,1
0091,Cloyster,Water,Ice,1
0211,Qwilfish,Water,Poison,2
0116,Horsea,Water,None,1
0117,Seadra,Water,None,1
0230,Kingdra,Water,Dragon,2
0369,Relicanth,Water,Rock,3
0551,Sandile,Ground,Dark,5
0552,Krokorok,Ground,Dark,5
0553,Krookodile,Ground,Dark,5
0694,Helioptile,Electric,Normal,6
0695,Heliolisk,Electric,Normal,6
0449,Hippopotas,Ground,None,4
0450,Hippowdon,Ground,None,4
0111,Rhyhorn,Ground,Rock,1
0112,Rhydon,Ground,Rock,1
0464,Rhyperior,Ground,Rock,4
0095,Onix,Rock,Ground,1
0208,Steelix,Steel,Ground,2
0527,Woobat,Psychic,Flying,5
0528,Swoobat,Psychic,Flying,5
0066,Machop,Fighting,None,1
0067,Machoke,Fighting,None,1
0068,Machamp,Fighting,None,1
0104,Cubone,Ground,None,1
0105,Marowak,Ground,None,1
0115,Kangaskhan,Normal,None,1
0303,Mawile,Steel,Fairy,3
0696,Tyrunt,Rock,Dragon,6
0697,Tyrantrum,Rock,Dragon,6
0698,Amaura,Rock,Ice,6
0699,Aurorus,Rock,Ice,6
0142,Aerodactyl,Rock,Flying,1
0597,Ferroseed,Grass,Steel,5
0598,Ferrothorn,Grass,Steel,5
0209,Snubbull,Fairy,None,2
0210,Granbull,Fairy,None,2
0309,Electrike,Electric,None,3
0310,Manectric,Electric,None,3
0228,Houndour,Dark,Fire,2
0229,Houndoom,Dark,Fire,2
0133,Eevee,Normal,None,1
0134,Vaporeon,Water,None,1
0135,Jolteon,Electric,None,1
0136,Flareon,Fire,None,1
0196,Espeon,Psychic,None,2
0197,Umbreon,Dark,None,2
