Number,Name,Type1,Type2,Gen
0001,Bulbasaur,Grass,Poison,1
0002,Ivysaur,Grass,Poison,1
0003,Venusaur,Grass,Poison,1
0004,Charmander,Fire,None,1
0005,Charmeleon,Fire,None,1
0006,Charizard,Fire,Flying,1
0007,Squirtle,Water,None,1
0008,Wartortle,Water,None,1
0009,Blastoise,Water,None,1
0010,Caterpie,Bug,None,1
0011,Metapod,Bug,None,1
0012,Butterfree,Bug,Flying,1
0013,Weedle,Bug,Poison,1
0014,Kakuna,Bug,Poison,1
0015,Beedrill,Bug,Poison,1
0016,Pidgey,Normal,Flying,1
0017,Pidgeotto,Normal,Flying,1
0018,Pidgeot,Normal,Flying,1
0019,Rattata,Normal,None,1
0020,Raticate,Normal,None,1
0021,Spearow,Normal,Flying,1
0022,Fearow,Normal,Flying,1
0023,Ekans,Poison,None,1
0024,Arbok,Poison,None,1
0025,Pikachu,Electric,None,1
0026,Raichu,Electric,None,1
0027,Sandshrew,Ground,None,1
0028,Sandslash,Ground,None,1
0029,Nidoran♀,Poison,None,1
0030,Nidorina,Poison,None,1
0031,Nidoqueen,Poison,Ground,1
0032,Nidoran♂,Poison,None,1
0033,Nidorino,Poison,None,1
0034,Nidoking,Poison,Ground,1
0035,Clefairy,Fairy,None,1
0036,Clefable,Fairy,None,1
0037,Vulpix,Fire,None,1
0038,Ninetales,Fire,None,1
0039,Jigglypuff,Normal,Fairy,1
0040,Wigglytuff,Normal,Fairy,1
0041,Zubat,Poison,Flying,1
0042,Golbat,Poison,Flying,1
0043,Oddish,Grass,Poison,1
0044,Gloom,Grass,Poison,1
0045,Vileplume,Grass,Poison,1
0046,Paras,Bug,Grass,1
0047,Parasect,Bug,Grass,1
0048,Venonat,Bug,Poison,1
0049,Venomoth,Bug,Poison,1
0050,Diglett,Ground,None,1
0051,Dugtrio,Ground,None,1
0052,Meowth,Normal,None,1
0053,Persian,Normal,None,1
0054,Psyduck,Water,None,1
0055,Golduck,Water,None,1
0056,Mankey,Fighting,None,1
0057,Primeape,Fighting,None,1
0058,Growlithe,Fire,None,1
0059,Arcanine,Fire,None,1
0060,Poliwag,Water,None,1
0061,Poliwhirl,Water,None,1
0062,Poliwrath,Water,Fighting,1
0063,Abra,Psychic,None,1
0064,Kadabra,Psychic,None,1
0065,Alakazam,Psychic,None,1
0066,Machop,Fighting,None,1
0067,Machoke,Fighting,None,1
0068,Machamp,Fighting,None,1
0069,Bellsprout,Grass,Poison,1
0070,Weepinbell,Grass,Poison,1
0071,Victreebel,Grass,Poison,1
0072,Tentacool,Water,Poison,1
0073,Tentacruel,Water,Poison,1
0074,Geodude,Rock,Ground,1
0075,Graveler,Rock,Ground,1
0076,Golem,Rock,Ground,1
0077,Ponyta,Fire,None,1
0078,Rapidash,Fire,None,1
0079,Slowpoke,Water,Psychic,1
0080,Slowbro,Water,Psychic,1
0081,Magnemite,Electric,Steel,1
0082,Magneton,Electric,Steel,1
0083,Farfetch'd,Normal,Flying,1
0084,Doduo,Normal,Flying,1
0085,Dodrio,Normal,Flying,1
0086,Seel,Water,None,1
0087,Dewgong,Water,Ice,1
0088,Grimer,Poison,None,1
0089,Muk,Poison,None,1
0090,Shellder,Water,None,1
0091,Cloyster,Water,Ice,1
0092,Gastly,Ghost,Poison,1
0093,Haunter,Ghost,Poison,1
0094,Gengar,Ghost,Poison,1
0095,Onix,Rock,Ground,1
0096,Drowzee,Psychic,None,1
0097,Hypno,Psychic,None,1
0098,Krabby,Water,None,1
0099,Kingler,Water,None,1
0100,Voltorb,Electric,None,1
0101,Electrode,Electric,None,1
0102,Exeggcute,Grass,Psychic,1
0103,Exeggutor,Grass,Psychic,1
0104,Cubone,Ground,None,1
0105,Marowak,Ground,None,1
0106,Hitmonlee,Fighting,None,1
0107,Hitmonchan,Fighting,None,1
0108,Lickitung,Normal,None,1
0109,Koffing,Poison,None,1
0110,Weezing,Poison,None,1
0111,Rhyhorn,Ground,Rock,1
0112,Rhydon,Ground,Rock,1
0113,Chansey,Normal,None,1
0114,Tangela,Grass,None,1
0115,Kangaskhan,Normal,None,1
0116,Horsea,Water,None,1
0117,Seadra,Water,None,1
0118,Goldeen,Water,None,1
0119,Seaking,Water,None,1
0120,Staryu,Water,None,1
0121,Starmie,Water,Psychic,1
0122,Mr.Mime,Psychic,Fairy,1
0123,Scyther,Bug,Flying,1
0124,Jynx,Ice,Psychic,1
0125,Electabuzz,Electric,None,1
0126,Magmar,Fire,None,1
0127,Pinsir,Bug,None,1
0128,Tauros,Normal,None,1
0129,Magikarp,Water,None,1
0130,Gyarados,Water,Flying,1
0131,Lapras,Water,Ice,1
0132,Ditto,Normal,None,1
0133,Eevee,Normal,None,1
0134,Vaporeon,Water,None,1
0135,Jolteon,Electric,None,1
0136,Flareon,Fire,None,1
0137,Porygon,Normal,None,1
0138,Omanyte,Rock,Water,1
0139,Omastar,Rock,Water,1
0140,Kabuto,Rock,Water,1
0141,Kabutops,Rock,Water,1
0142,Aerodactyl,Rock,Flying,1
0143,Snorlax,Normal,None,1
0144,Articuno,Ice,Flying,1
0145,Zapdos,Electric,Flying,1
0146,Moltres,Fire,Flying,1
0147,Dratini,Dragon,None,1
0148,Dragonair,Dragon,None,1
0149,Dragonite,Dragon,Flying,1
0150,Mewtwo,Psychic,None,1
0151,Mew,Psychic,None,1
0152,Chikorita,Grass,None,2
0153,Bayleef,Grass,None,2
0154,Meganium,Grass,None,2
0155,Cyndaquil,Fire,None,2
0156,Quilava,Fire,None,2
0157,Typhlosion,Fire,None,2
0158,Totodile,Water,None,2
0159,Croconaw,Water,None,2
0160,Feraligatr,Water,None,2
0161,Sentret,Normal,None,2
0162,Furret,Normal,None,2
0163,Hoothoot,Normal,Flying,2
0164,Noctowl,Normal,Flying,2
0165,Ledyba,Bug,Flying,2
0166,Ledian,Bug,Flying,2
0167,Spinarak,Bug,Poison,2
0168,Ariados,Bug,Poison,2
0169,Crobat,Poison,Flying,2
0170,Chinchou,Water,Electric,2
0171,Lanturn,Water,Electric,2
0172,Pichu,Electric,None,2
0173,Cleffa,Fairy,None,2
0174,Igglybuff,Normal,Fairy,2
0175,Togepi,Fairy,None,2
0176,Togetic,Fairy,Flying,2
0177,Natu,Psychic,Flying,2
0178,Xatu,Psychic,Flying,2
0179,Mareep,Electric,None,2
0180,Flaaffy,Electric,None,2
0181,Ampharos,Electric,None,2
0182,Bellossom,Grass,None,2
0183,Marill,Water,Fairy,2
0184,Azumarill,Water,Fairy,2
0185,Sudowoodo,Rock,None,2
0186,Politoed,Water,None,2
0187,Hoppip,Grass,Flying,2
0188,Skiploom,Grass,Flying,2
0189,Jumpluff,Grass,Flying,2
0190,Aipom,Normal,None,2
0191,Sunkern,Grass,None,2
0192,Sunflora,Grass,None,2
0193,Yanma,Bug,Flying,2
0194,Wooper,Water,Ground,2
0195,Quagsire,Water,Ground,2
0196,Espeon,Psychic,None,2
0197,Umbreon,Dark,None,2
0198,Murkrow,Dark,Flying,2
0199,Slowking,Water,Psychic,2
0200,Misdreavus,Ghost,None,2
0201,Unown,Psychic,None,2
0202,Wobbuffet,Psychic,None,2
0203,Girafarig,Normal,Psychic,2
0204,Pineco,Bug,None,2
0205,Forretress,Bug,Steel,2
0206,Dunsparce,Normal,None,2
0207,Gligar,Ground,Flying,2
0208,Steelix,Steel,Ground,2
0209,Snubbull,Fairy,None,2
0210,Granbull,Fairy,None,2
0211,Qwilfish,Water,Poison,2
0212,Scizor,Bug,Steel,2
0213,Shuckle,Bug,Rock,2
0214,Heracross,Bug,Fighting,2
0215,Sneasel,Dark,Ice,2
0216,Teddiursa,Normal,None,2
0217,Ursaring,Normal,None,2
0218,Slugma,Fire,None,2
0219,Magcargo,Fire,Rock,2
0220,Swinub,Ice,Ground,2
0221,Piloswine,Ice,Ground,2
0222,Corsola,Water,Rock,2
0223,Remoraid,Water,None,2
0224,Octillery,Water,None,2
0225,Delibird,Ice,Flying,2
0226,Mantine,Water,Flying,2
0227,Skarmory,Steel,Flying,2
0228,Houndour,Dark,Fire,2
0229,Houndoom,Dark,Fire,2
0230,Kingdra,Water,Dragon,2
0231,Phanpy,Ground,None,2
0232,Donphan,Ground,None,2
0233,Porygon2,Normal,None,2
0234,Stantler,Normal,None,2
0235,Smeargle,Normal,None,2
0236,Tyrogue,Fighting,None,2
0237,Hitmontop,Fighting,None,2
0238,Smoochum,Ice,Psychic,2
0239,Elekid,Electric,None,2
0240,Magby,Fire,None,2
0241,Miltank,Normal,None,2
0242,Blissey,Normal,None,2
0243,Raikou,Electric,None,2
0244,Entei,Fire,None,2
0245,Suicune,Water,None,2
0246,Larvitar,Rock,Ground,2
0247,Pupitar,Rock,Ground,2
0248,Tyranitar,Rock,Dark,2
0249,Lugia,Psychic,Flying,2
0250,Ho-oh,Fire,Flying,2
0251,Celebi,Psychic,Grass,2
0252,Treecko,Grass,None,3
0253,Grovyle,Grass,None,3
0254,Sceptile,Grass,None,3
0255,Torchic,Fire,None,3
0256,Combusken,Fire,Fighting,3
0257,Blaziken,Fire,Fighting,3
0258,Mudkip,Water,None,3
0259,Marshtomp,Water,Ground,3
0260,Swampert,Water,Ground,3
0261,Poochyena,Dark,None,3
0262,Mightyena,Dark,None,3
0263,Zigzagoon,Normal,None,3
0264,Linoone,Normal,None,3
0265,Wurmple,Bug,None,3
0266,Silcoon,Bug,None,3
0267,Beautifly,Bug,Flying,3
0268,Cascoon,Bug,None,3
0269,Dustox,Bug,Poison,3
0270,Lotad,Water,Grass,3
0271,Lombre,Water,Grass,3
0272,Ludicolo,Water,Grass,3
0273,Seedot,Grass,None,3
0274,Nuzleaf,Grass,Dark,3
0275,Shiftry,Grass,Dark,3
0276,Taillow,Normal,Flying,3
0277,Swellow,Normal,Flying,3
0278,Wingull,Water,Flying,3
