Number,Name,Type1,Type2,Gen
0387,Turtwig,Grass,None,4
0388,Grotle,Grass,None,4
0389,Torterra,Grass,Ground,4
0390,Chimchar,Fire,None,4
0391,Monferno,Fire,Fighting,4
0392,Infernape,Fire,Fighting,4
0393,Piplup,Water,None,4
0394,Prinplup,Water,None,4
0395,Empoleon,Water,Steel,4
0396,Starly,Normal,Flying,4
0397,Staravia,Normal,Flying,4
0398,Staraptor,Normal,Flying,4
0399,Bidoof,Normal,None,4
0400,Bibarel,Normal,Water,4
0401,Kricketot,Bug,None,4
0402,Kricketune,Bug,None,4
0403,Shinx,Electric,None,4
0404,Luxio,Electric,None,4
0405,Luxray,Electric,None,4
0063,Abra,Psychic,None,1
0064,Kadabra,Psychic,None,1
0065,Alakazam,Psychic,None,1
0129,Magikarp,Water,None,1
0130,Gyarados,Water,Flying,1
0406,Budew,Grass,Poison,4
0315,Roselia,Grass,Poison,3
0407,Roserade,Grass,Poison,4
0041,Zubat,Poison,Flying,1
0042,Golbat,Poison,Flying,1
0169,Crobat,Poison,Flying,2
0074,Geodude,Rock,Ground,1
0075,Graveler,Rock,Ground,1
0076,Golem,Rock,Ground,1
0095,Onix,Rock,Ground,1
0208,Steelix,Steel,Ground,2
0408,Cranidos,Rock,None,4
0409,Rampardos,Rock,None,4
0410,Shieldon,Rock,Steel,4
0411,Bastiodon,Rock,Steel,4
0066,Machop,Fighting,None,1
0067,Machoke,Fighting,None,1
0068,Machamp,Fighting,None,1
0054,Psyduck,Water,None,1
0055,Golduck,Water,None,1
0412,Burmy,Bug,None,4
0413,Wormadam,Bug,Grass,4
0414,Mothim,Bug,Flying,4
0265,Wurmple,Bug,None,3
0266,Silcoon,Bug,None,3
0267,Beautifly,Bug,Flying,3
0268,Cascoon,Bug,None,3
0269,Dustox,Bug,Poison,3
0415,Combee,Bug,Flying,4
0416,Vespiquen,Bug,Flying,4
0417,Pachirisu,Electric,None,4
0418,Buizel,Water,None,4
0419,Floatzel,Water,None,4
0420,Cherubi,Grass,None,4
0421,Cherrim,Grass,None,4
0422,Shellos,Water,None,4
0423,Gastrodon,Water,Ground,4
0214,Heracross,Bug,Fighting,2
0190,Aipom,Normal,None,2
0424,Ambipom,Normal,None,4
0425,Drifloon,Ghost,Flying,4
0426,Drifblim,Ghost,Flying,4
0427,Buneary,Normal,None,4
0428,Lopunny,Normal,None,4
0092,Gastly,Ghost,Poison,1
0093,Haunter,Ghost,Poison,1
0094,Gengar,Ghost,Poison,1
0200,Misdreavus,Ghost,None,2
0429,Mismagius,Ghost,None,4
0198,Murkrow,Dark,Flying,2
0430,Honchkrow,Dark,Flying,4
0431,Glameow,Normal,None,4
0432,Purugly,Normal,None,4
0118,Goldeen,Water,None,1
0119,Seaking,Water,None,1
0339,Barboach,Water,Ground,3
0340,Whiscash,Water,Ground,3
0433,Chingling,Psychic,None,4
0358,Chimecho,Psychic,None,3
0434,Stunky,Poison,Dark,4
0435,Skuntank,Poison,Dark,4
0307,Meditite,Fighting,Psychic,3
0308,Medicham,Fighting,Psychic,3
0436,Bronzor,Steel,Psychic,4
0437,Bronzong,Steel,Psychic,4
0077,Ponyta,Fire,None,1
0078,Rapidash,Fire,None,1
0438,Bonsly,Rock,None,4
0185,Sudowoodo,Rock,None,2
0439,Mime Jr.,Psychic,Fairy,4
0122,Mr.Mime,Psychic,Fairy,1
0440,Happiny,Normal,None,4
0113,Chansey,Normal,None,1
0242,Blissey,Normal,None,2
0173,Cleffa,Fairy,None,2
0035,Clefairy,Fairy,None,1
0036,Clefable,Fairy,None,1
0441,Chatot,Normal,Flying,4
0172,Pichu,Electric,None,2
0025,Pikachu,Electric,None,1
0026,Raichu,Electric,None,1
0163,Hoothoot,Normal,Flying,2
0164,Noctowl,Normal,Flying,2
0442,Spiritomb,Ghost,Dark,4
0443,Gible,Dragon,Ground,4
0444,Gabite,Dragon,Ground,4
0445,Garchomp,Dragon,Ground,4
0446,Munchlax,Normal,None,4
0143,Snorlax,Normal,None,1
0201,Unown,Psychic,None,2
0447,Riolu,Fighting,None,4
0448,Lucario,Fighting,Steel,4
0194,Wooper,Water,Ground,2
0195,Quagsire,Water,Ground,2
0278,Wingull,Water,Flying,3
0279,Pelipper,Water,Flying,3
0203,Girafarig,Normal,Psychic,2
0449,Hippopotas,Ground,None,4
0450,Hippowdon,Ground,None,4
0298,Azurill,Normal,Fairy,3
0183,Marill,Water,Fairy,2
0184,Azumarill,Water,Fairy,2
0451,Skorupi,Poison,Bug,4
0452,Drapion,Poison,Dark,4
0453,Croagunk,Poison,Fighting,4
0454,Toxicroak,Poison,Fighting,4
0455,Carnivine,Grass,None,4
0223,Remoraid,Water,None,2
0224,Octillery,Water,None,2
0456,Finneon,Water,None,4
0457,Lumineon,Water,None,4
0072,Tentacool,Water,Poison,1
0073,Tentacruel,Water,Poison,1
0349,Feebas,Water,None,3
0350,Milotic,Water,None,3
0458,Mantyke,Water,Flying,4
0226,Mantine,Water,Flying,2
0459,Snover,Grass,Ice,4
0460,Abomasnow,Grass,Ice,4
0215,Sneasel,Dark,Ice,2
0461,Weavile,Dark,Ice,4
0480,Uxie,Psychic,None,4
0481,Mesprit,Psychic,None,4
0482,Azelf,Psychic,None,4
0483,Dialga,Steel,Dragon,4
0484,Palkia,Water,Dragon,4
0490,Manaphy,Water,None,4
