Number,Name,Type1,Type2,Gen
0494,Victini,Psychic,Fire,5
0495,Snivy,Grass,None,5
0496,Servine,Grass,None,5
0497,Serperior,Grass,None,5
0498,Tepig,Fire,None,5
0499,Pignite,Fire,Fighting,5
0500,Emboar,Fire,Fighting,5
0501,Oshawott,Water,None,5
0502,Dewott,Water,None,5
0503,Samurott,Water,None,5
0504,Patrat,Normal,None,5
0505,Watchog,Normal,None,5
0506,Lillipup,Normal,None,5
0507,Herdier,Normal,None,5
0508,Stoutland,Normal,None,5
0509,Purrloin,Dark,None,5
0510,Liepard,Dark,None,5
0511,Pansage,Grass,None,5
0512,Simisage,Grass,None,5
0513,Pansear,Fire,None,5
0514,Simisear,Fire,None,5
0515,Panpour,Water,None,5
0516,Simipour,Water,None,5
0517,Munna,Psychic,None,5
0518,Musharna,Psychic,None,5
0519,Pidove,Normal,Flying,5
0520,Tranquill,Normal,Flying,5
0521,Unfezant,Normal,Flying,5
0522,Blitzle,Electric,None,5
0523,Zebstrika,Electric,None,5
0524,Roggenrola,Rock,None,5
0525,Boldore,Rock,None,5
0526,Gigalith,Rock,None,5
0527,Woobat,Psychic,Flying,5
0528,Swoobat,Psychic,Flying,5
0529,Drilbur,Ground,None,5
0530,Excadrill,Ground,Steel,5
0531,Audino,Normal,None,5
0532,Timburr,Fighting,None,5
0533,Gurdurr,Fighting,None,5
0534,Conkeldurr,Fighting,None,5
0535,Tympole,Water,None,5
0536,Palpitoad,Water,Ground,5
0537,Seismitoad,Water,Ground,5
0538,Throh,Fighting,None,5
0539,Sawk,Fighting,None,5
0540,Sewaddle,Bug,Grass,5
0541,Swadloon,Bug,Grass,5
0542,Leavanny,Bug,Grass,5
0543,Venipede,Bug,Poison,5
0544,Whirlipede,Bug,Poison,5
0545,Scolipede,Bug,Poison,5
0546,Cottonee,Grass,None,5
0547,Whimsicott,Grass,None,5
0548,Petilil,Grass,None,5
0549,Lilligant,Grass,None,5
0550,Basculin,Water,None,5
0551,Sandile,Ground,Dark,5
0552,Krokorok,Ground,Dark,5
0553,Krookodile,Ground,Dark,5
0554,Darumaka,Fire,None,5
0555,Darmanitan,Fire,None,5
0556,Maractus,Grass,None,5
0557,Dwebble,Bug,Rock,5
0558,Crustle,Bug,Rock,5
0559,Scraggy,Dark,Fighting,5
0560,Scrafty,Dark,Fighting,5
0561,Sigilyph,Psychic,Flying,5
0562,Yamask,Ghost,None,5
0563,Cofagrigus,Ghost,None,5
0564,Tirtouga,Water,Rock,5
0565,Carracosta,Water,Rock,5
0566,Archen,Rock,Flying,5
0567,Archeops,Rock,Flying,5
0568,Trubbish,Poison,None,5
0569,Garbodor,Poison,None,5
0570,Zorua,Dark,None,5
0571,Zoroark,Dark,None,5
0572,Minccino,Normal,None,5
0573,Cinccino,Normal,None,5
0574,Gothita,Psychic,None,5
0575,Gothorita,Psychic,None,5
0576,Gothitelle,Psychic,None,5
0577,Solosis,Psychic,None,5
0578,Duosion,Psychic,None,5
0579,Reuniclus,Psychic,None,5
0580,Ducklett,Water,Flying,5
0581,Swanna,Water,Flying,5
0582,Vanillite,Ice,None,5
0583,Vanillish,Ice,None,5
0584,Vanilluxe,Ice,None,5
0585,Deerling,Normal,Grass,5
0586,Sawsbuck,Normal,Grass,5
0587,Emolga,Electric,Flying,5
0588,Karrablast,Bug,None,5
0589,Escavalier,Bug,Steel,5
0590,Foongus,Grass,Poison,5
0591,Amoonguss,Grass,Poison,5
0592,Frillish,Water,Ghost,5
0593,Jellicent,Water,Ghost,5
0594,Alomomola,Water,None,5
0595,Joltik,Bug,Electric,5
0596,Galvantula,Bug,Electric,5
0597,Ferroseed,Grass,Steel,5
0598,Ferrothorn,Grass,Steel,5
0599,Klink,Steel,None,5
0600,Klang,Steel,None,5
0601,Klinklang,Steel,None,5
0602,Tynamo,Electric,None,5
0603,Eelektrik,Electric,None,5
0604,Eelektross,Electric,None,5
0605,Elgyem,Psychic,None,5
0606,Beheeyem,Psychic,None,5
0607,Litwick,Ghost,Fire,5
0608,Lampent,Ghost,Fire,5
0609,Chandelure,Ghost,Fire,5
0610,Axew,Dragon,None,5
0611,Fraxure,Dragon,None,5
0612,Haxorus,Dragon,None,5
0613,Cubchoo,Ice,None,5
0614,Beartic,Ice,None,5
0615,Cryogonal,Ice,None,5
0616,Shelmet,Bug,None,5
0617,Accelgor,Bug,None,5
0618,Stunfisk,Ground,Electric,5
0619,Mienfoo,Fighting,None,5
0620,Mienshao,Fighting,None,5
0621,Druddigon,Dragon,None,5
0622,Golett,Ground,Ghost,5
0623,Golurk,Ground,Ghost,5
0624,Pawniard,Dark,Steel,5
0625,Bisharp,Dark,Steel,5
0626,Bouffalant,Normal,None,5
0627,Rufflet,Normal,Flying,5
0628,Braviary,Normal,Flying,5
0629,Vullaby,Dark,Flying,5
0630,Mandibuzz,Dark,Flying,5
0631,Heatmor,Fire,None,5
0632,Durant,Bug,Steel,5
0633,Deino,Dark,Dragon,5
0634,Zweilous,Dark,Dragon,5
0635,Hydreigon,Dark,Dragon,5
0636,Larvesta,Bug,Fire,5
0637,Volcarona,Bug,Fire,5
0638,Cobalion,Steel,Fighting,5
0639,Terrakion,Rock,Fighting,5
0640,Virizion,Grass,Fighting,5
0641,Tornadus,Flying,None,5
0642,Thundurus,Electric,Flying,5
0643,Reshiram,Dragon,Fire,5
0644,Zekrom,Dragon,Electric,5
0645,Landorus,Ground,Flying,5
0646,Kyurem,Dragon,Ice,5
0647,Keldeo,Water,Fighting,5
0648,Meloetta,Normal,Psychic,5
0649,Genesect,Bug,Steel,5
